pyr,n,placed,coll,open,payers,dwell,liq
2018,2000,697973.42,130226.54,562787.27,650,209.06,18.66
2019,1653,257563.42,81052.72,176580.7,682,133.18,31.47
2020,246,152378.77,66235.72,86143.05,85,114.09,43.47
2021,224,86902.86,28523.41,58379.45,44,138.47,32.82
2022,2105,446315.43,132424.44,313629.72,396,314.81,29.67
2023,4868,668235.28,212862.41,452619.35,1102,229.42,31.85
2024,949,187572.9,28800.93,157912.62,157,215.14,15.35
2026,7900,2101285.95,68112.63,2020837.31,187,541.99,3.24
